Src,Det,ch Coord,MNI,label
1,1,141 220 118,15 71 2,Frontal_Med_Orb_R
1,2,130 214 137,3 64 19,Frontal_Sup_Medial_L
1,28,116 220 121,-11 71 4,Frontal_Sup_L
1,29,130 212 122,4 63 5,Frontal_Sup_Medial_R
2,1,152 204 127,26 54 9,Frontal_Mid_R
2,2,142 201 141,16 51 22,Cingulum_Ant_R
2,3,152 207 156,25 56 37,Frontal_Mid_R
2,4,159 196 131,33 46 12,Frontal_Mid_R
2,30,158 217 141,32 66 23,Frontal_Sup_R
3,1,159 211 118,33 61 1,Frontal_Sup_Orb_R
3,4,171 198 121,46 48 3,Frontal_Inf_Tri_R
3,31,165 197 119,40 47 0,Frontal_Mid_Orb_R
4,2,131 193 153,4 43 33,Cingulum_Mid_R
4,3,141 200 176,14 48 55,Frontal_Sup_R
4,5,128 184 190,1 33 67,Supp_Motor_Area_L
4,26,118 199 177,-9 48 56,Frontal_Sup_L
4,32,132 190 171,5 39 49,Frontal_Sup_Medial_R
5,3,155 195 162,29 44 41,Frontal_Sup_R
5,4,168 185 139,42 34 19,Frontal_Mid_R
5,6,171 176 158,45 24 36,Frontal_Inf_Oper_R
5,33,164 189 153,38 37 32,Frontal_Inf_Tri_R
6,4,180 196 125,55 46 6,Frontal_Inf_Tri_R
6,34,166 187 120,40 37 1,Frontal_Inf_Tri_R
7,3,149 183 178,23 31 55,Frontal_Sup_R
7,5,141 174 195,14 22 71,Supp_Motor_Area_R
7,6,169 173 183,43 20 60,Frontal_Mid_R
7,7,160 157 198,34 4 73,Frontal_Sup_R
7,35,154 171 193,28 18 69,Frontal_Sup_R
8,4,181 180 142,55 28 21,Frontal_Inf_Tri_R
8,6,188 171 159,63 19 37,Frontal_Inf_Oper_R
8,8,175 157 145,50 5 22,Frontal_Inf_Oper_R
8,36,193 168 146,68 15 24,Frontal_Inf_Oper_R
9,5,127 157 207,0 4 81,Supp_Motor_Area_L
9,7,141 135 193,15 -18 66,Supp_Motor_Area_R
9,9,126 121 201,0 -31 73,Paracentral_Lobule_R
9,23,114 137 200,-13 -15 74,Paracentral_Lobule_L
9,37,128 136 191,2 -16 65,Paracentral_Lobule_L
10,6,184 155 178,58 2 53,Frontal_Mid_R
10,7,159 136 176,34 -16 50,Precentral_R
10,8,176 140 165,51 -12 41,Postcentral_R
10,10,161 127 172,36 -25 46,Postcentral_R
10,38,174 136 174,49 -17 48,Postcentral_R
11,8,187 140 131,62 -11 8,Temporal_Sup_R
11,11,177 125 115,53 -26 -8,Temporal_Mid_R
11,39,175 134 110,51 -16 -12,Temporal_Mid_R
12,7,157 122 203,32 -31 75,Postcentral_R
12,9,143 106 206,18 -47 77,Parietal_Sup_R
12,10,157 111 179,32 -42 51,Parietal_Inf_R
12,12,158 98 202,33 -56 72,Parietal_Sup_R
12,40,153 107 199,28 -46 70,Postcentral_R
13,8,194 126 150,69 -26 25,Temporal_Sup_R
13,10,171 110 166,46 -42 39,SupraMarginal_R
13,11,172 112 135,47 -39 10,Temporal_Mid_R
13,13,188 101 153,64 -52 26,Angular_R
13,41,175 109 151,51 -44 25,Angular_R
14,9,129 108 188,3 -44 60,Precuneus_L
14,12,140 93 189,15 -60 60,Precuneus_R
