"channel_id","channel_type","source_optode","source_landmark","detector_optode","detector_landmark","fOLD_reference","fOLD_channel_number","fOLD_source_landmark","fOLD_detector_landmark","match_status","fOLD_distance_mm","fOLD_brain_sensitivity_percent","fOLD_mni_x_mm","fOLD_mni_y_mm","fOLD_mni_z_mm","Brodmann_primary_area","Brodmann_primary_specificity_percent","Brodmann_all_areas"
"Ch-001","long","S1","Fpz","D1","Fp2","10-10","3","Fpz","Fp2","Exact unordered 10-10 landmark pair","31","4,89","13","67","0","10 - Frontopolar area","54,46","10 - Frontopolar area (54,46%); 11 - Orbitofrontal area (44,85%)"
"Ch-002","long","S1","Fpz","D2","AFz","10-10","2","Fpz","AFz","Exact unordered 10-10 landmark pair","40","9,47","1","64","14","10 - Frontopolar area","87,48","10 - Frontopolar area (87,48%); 9 - Dorsolateral prefrontal cortex (5,08%); 11 - Orbitofrontal area (4,63%); 32 - Dorsal anterior cingulate cortex (2,51%)"
"Ch-003","long","S1","Fpz","D28","Fp1","10-10","1","Fpz","Fp1","Exact unordered 10-10 landmark pair","30","4,29","-12","67","0","10 - Frontopolar area","54,5","10 - Frontopolar area (54,50%); 11 - Orbitofrontal area (44,90%)"
"Ch-004","short","S1","Fpz","D29","Fpz","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-005","long","S2","AF4","D1","Fp2","10-10","78","AF4","Fp2","Exact unordered 10-10 landmark pair","28","7,19","25","63","9","10 - Frontopolar area","68,78","10 - Frontopolar area (68,78%); 11 - Orbitofrontal area (21,57%); 46 - Dorsolateral prefrontal cortex (6,61%); Brain_Outside (1,81%)"
"Ch-006","long","S2","AF4","D2","AFz","10-10","77","AF4","AFz","Exact unordered 10-10 landmark pair","36","9,12","13","61","24","10 - Frontopolar area","72,47","10 - Frontopolar area (72,47%); 9 - Dorsolateral prefrontal cortex (16,97%); 46 - Dorsolateral prefrontal cortex (7,98%); 32 - Dorsal anterior cingulate cortex (1,49%)"
"Ch-007","long","S2","AF4","D3","F2","10-10","79","AF4","F2","Exact unordered 10-10 landmark pair","44","9,85","22","52","33","9 - Dorsolateral prefrontal cortex","51,52","9 - Dorsolateral prefrontal cortex (51,52%); 46 - Dorsolateral prefrontal cortex (26,42%); 10 - Frontopolar area (18,41%); 8 - Includes Frontal eye fields (1,92%)"
"Ch-008","long","S2","AF4","D4","F6","10-10","80","AF4","F6","Exact unordered 10-10 landmark pair","45","13,33","40","50","16","46 - Dorsolateral prefrontal cortex","47,36","46 - Dorsolateral prefrontal cortex (47,36%); 45 - pars triangularis Broca's area (30,60%); 10 - Frontopolar area (18,97%)"
"Ch-009","short","S2","AF4","D30","AF4","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-010","long","S3","AF8","D1","Fp2","10-10","81","AF8","Fp2","Exact unordered 10-10 landmark pair","30","5,4","34","59","-2","10 - Frontopolar area","31,08","10 - Frontopolar area (31,08%); 11 - Orbitofrontal area (30,47%); 46 - Dorsolateral prefrontal cortex (20,40%); 47 - Inferior prefrontal gyrus (12,45%); Brain_Outside (5,11%)"
"Ch-011","long","S3","AF8","D4","F6","10-10","82","AF8","F6","Exact unordered 10-10 landmark pair","33","8","48","46","5","45 - pars triangularis Broca's area","43,88","45 - pars triangularis Broca's area (43,88%); 46 - Dorsolateral prefrontal cortex (43,18%); 47 - Inferior prefrontal gyrus (5,07%); Brain_Outside (4,08%); 10 - Frontopolar area (3,43%)"
"Ch-012","short","S3","AF8","D31","AF8","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-013","long","S4","Fz","D2","AFz","10-10","10","Fz","AFz","Exact unordered 10-10 landmark pair","40","9,27","2","50","39","9 - Dorsolateral prefrontal cortex","61,77","9 - Dorsolateral prefrontal cortex (61,77%); 10 - Frontopolar area (20,26%); 8 - Includes Frontal eye fields (12,15%); 32 - Dorsal anterior cingulate cortex (5,08%)"
"Ch-014","long","S4","Fz","D3","F2","10-10","13","Fz","F2","Exact unordered 10-10 landmark pair","29","4,31","10","41","50","9 - Dorsolateral prefrontal cortex","68,93","9 - Dorsolateral prefrontal cortex (68,93%); 8 - Includes Frontal eye fields (28,89%); 32 - Dorsal anterior cingulate cortex (1,22%)"
"Ch-015","long","S4","Fz","D5","FCz","10-10","12","Fz","FCz","Exact unordered 10-10 landmark pair","40","7,54","1","27","58","8 - Includes Frontal eye fields","60,02","8 - Includes Frontal eye fields (60,02%); 6 - Pre-Motor and Supplementary Motor Cortex (24,18%); 9 - Dorsolateral prefrontal cortex (12,94%); 32 - Dorsal anterior cingulate cortex (2,13%)"
"Ch-016","long","S4","Fz","D26","F1","10-10","11","Fz","F1","Exact unordered 10-10 landmark pair","29","3,3","-9","41","50","9 - Dorsolateral prefrontal cortex","63,16","9 - Dorsolateral prefrontal cortex (63,16%); 8 - Includes Frontal eye fields (34,73%); 32 - Dorsal anterior cingulate cortex (1,17%)"
"Ch-017","short","S4","Fz","D32","Fz","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-018","long","S5","F4","D3","F2","10-10","83","F4","F2","Exact unordered 10-10 landmark pair","30","3,43","30","40","41","9 - Dorsolateral prefrontal cortex","68,37","9 - Dorsolateral prefrontal cortex (68,37%); 46 - Dorsolateral prefrontal cortex (22,40%); 8 - Includes Frontal eye fields (5,57%); 45 - pars triangularis Broca's area (2,44%)"
"Ch-019","long","S5","F4","D4","F6","10-10","84","F4","F6","Exact unordered 10-10 landmark pair","30","5,87","46","38","24","45 - pars triangularis Broca's area","70,67","45 - pars triangularis Broca's area (70,67%); 46 - Dorsolateral prefrontal cortex (23,45%); 44 - pars opercularis, part of Broca's area (2,43%); 9 - Dorsolateral prefrontal cortex (2,15%)"
"Ch-020","long","S5","F4","D6","FC4","10-10","85","F4","FC4","Exact unordered 10-10 landmark pair","37","7,94","44","25","40","9 - Dorsolateral prefrontal cortex","30,71","9 - Dorsolateral prefrontal cortex (30,71%); 44 - pars opercularis, part of Broca's area (27,47%); 46 - Dorsolateral prefrontal cortex (16,39%); 45 - pars triangularis Broca's area (14,61%); 6 - Pre-Motor and Supplementary Motor Cortex (7,63%); 8 - Includes Frontal eye fields (1,58%); 48 - Retrosubicular area (1,33%)"
"Ch-021","short","S5","F4","D33","F4","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-022","long","S6","F8","D4","F6","10-10","86","F8","F6","Exact unordered 10-10 landmark pair","27","4,33","55","36","5","45 - pars triangularis Broca's area","65,82","45 - pars triangularis Broca's area (65,82%); Brain_Outside (24,81%); 46 - Dorsolateral prefrontal cortex (5,15%); 47 - Inferior prefrontal gyrus (2,01%); 38 - Temporopolar area (1,03%)"
"Ch-023","short","S6","F8","D34","F8","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-024","long","S7","FC2","D3","F2","10-10","90","FC2","F2","Exact unordered 10-10 landmark pair","39","6,31","24","26","55","8 - Includes Frontal eye fields","58,07","8 - Includes Frontal eye fields (58,07%); 9 - Dorsolateral prefrontal cortex (33,14%); 6 - Pre-Motor and Supplementary Motor Cortex (7,12%)"
"Ch-025","long","S7","FC2","D5","FCz","10-10","89","FC2","FCz","Exact unordered 10-10 landmark pair","36","5,19","14","13","66","6 - Pre-Motor and Supplementary Motor Cortex","62,95","6 - Pre-Motor and Supplementary Motor Cortex (62,95%); 8 - Includes Frontal eye fields (35,34%); 9 - Dorsolateral prefrontal cortex (1,34%)"
"Ch-026","long","S7","FC2","D6","FC4","10-10","91","FC2","FC4","Exact unordered 10-10 landmark pair","36","7,36","39","12","54","6 - Pre-Motor and Supplementary Motor Cortex","38,21","6 - Pre-Motor and Supplementary Motor Cortex (38,21%); 9 - Dorsolateral prefrontal cortex (35,79%); 8 - Includes Frontal eye fields (21,49%); 44 - pars opercularis, part of Broca's area (3,29%)"
"Ch-027","long","S7","FC2","D7","C2","10-10","92","FC2","C2","Exact unordered 10-10 landmark pair","40","8,92","27","-4","68","6 - Pre-Motor and Supplementary Motor Cortex","82,46","6 - Pre-Motor and Supplementary Motor Cortex (82,46%); 8 - Includes Frontal eye fields (11,24%); 4 - Primary Motor Cortex (4,35%); 9 - Dorsolateral prefrontal cortex (1,33%)"
"Ch-028","short","S7","FC2","D35","FC2","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-029","long","S8","FC6","D4","F6","10-10","93","FC6","F6","Exact unordered 10-10 landmark pair","34","6,99","58","24","18","45 - pars triangularis Broca's area","52,59","45 - pars triangularis Broca's area (52,59%); 44 - pars opercularis, part of Broca's area (28,57%); 6 - Pre-Motor and Supplementary Motor Cortex (10,20%); 48 - Retrosubicular area (3,96%); Brain_Outside (3,00%)"
"Ch-030","long","S8","FC6","D6","FC4","10-10","94","FC6","FC4","Exact unordered 10-10 landmark pair","36","9,39","56","12","33","44 - pars opercularis, part of Broca's area","41,45","44 - pars opercularis, part of Broca's area (41,45%); 6 - Pre-Motor and Supplementary Motor Cortex (40,06%); 9 - Dorsolateral prefrontal cortex (8,75%); 43 - Subcentral area (2,66%); 4 - Primary Motor Cortex (2,28%); 45 - pars triangularis Broca's area (2,12%); 48 - Retrosubicular area (1,76%)"
"Ch-031","long","S8","FC6","D8","C6","10-10","96","FC6","C6","Exact unordered 10-10 landmark pair","34","7,29","64","-5","22","43 - Subcentral area","49,07","43 - Subcentral area (49,07%); 6 - Pre-Motor and Supplementary Motor Cortex (17,74%); 48 - Retrosubicular area (12,32%); 22 - Superior Temporal Gyrus (10,74%); 2 - Primary Somatosensory Cortex (3,23%); 44 - pars opercularis, part of Broca's area (2,91%); 4 - Primary Motor Cortex (1,59%)"
"Ch-032","short","S8","FC6","D36","FC6","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-033","long","S9","Cz","D5","FCz","10-10","63","Cz","FCz","Exact unordered 10-10 landmark pair","40","7,77","-1","-4","72","6 - Pre-Motor and Supplementary Motor Cortex","83,77","6 - Pre-Motor and Supplementary Motor Cortex (83,77%); 4 - Primary Motor Cortex (11,38%); 8 - Includes Frontal eye fields (3,23%)"
"Ch-034","long","S9","Cz","D7","C2","10-10","65","Cz","C2","Exact unordered 10-10 landmark pair","39","8,01","17","-21","75","6 - Pre-Motor and Supplementary Motor Cortex","55,39","6 - Pre-Motor and Supplementary Motor Cortex (55,39%); 4 - Primary Motor Cortex (39,92%); 3 - Primary Somatosensory Cortex (3,09%)"
"Ch-035","long","S9","Cz","D9","CPz","10-10","64","Cz","Cpz","Exact unordered 10-10 landmark pair","39","6,53","1","-35","75","4 - Primary Motor Cortex","47,13","4 - Primary Motor Cortex (47,13%); 5 - Somatosensory Association Cortex (29,14%); 6 - Pre-Motor and Supplementary Motor Cortex (10,54%); 3 - Primary Somatosensory Cortex (5,31%); Brain_Outside (3,37%); 1 - Primary Somatosensory Cortex (2,41%); 7 - Somatosensory Association Cortex (1,79%)"
"Ch-036","long","S9","Cz","D23","C1","10-10","62","Cz","C1","Exact unordered 10-10 landmark pair","39","7,94","-17","-20","74","6 - Pre-Motor and Supplementary Motor Cortex","56,45","6 - Pre-Motor and Supplementary Motor Cortex (56,45%); 4 - Primary Motor Cortex (39,76%); 3 - Primary Somatosensory Cortex (1,90%)"
"Ch-037","short","S9","Cz","D37","Cz","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-038","long","S10","C4","D6","FC4","10-10","99","C4","FC4","Exact unordered 10-10 landmark pair","38","8,36","52","-4","48","6 - Pre-Motor and Supplementary Motor Cortex","56,87","6 - Pre-Motor and Supplementary Motor Cortex (56,87%); 4 - Primary Motor Cortex (19,48%); 3 - Primary Somatosensory Cortex (11,41%); 9 - Dorsolateral prefrontal cortex (6,12%); 44 - pars opercularis, part of Broca's area (2,64%); 1 - Primary Somatosensory Cortex (1,21%)"
"Ch-039","long","S10","C4","D7","C2","10-10","100","C4","C2","Exact unordered 10-10 landmark pair","40","7,94","42","-21","62","4 - Primary Motor Cortex","36,77","4 - Primary Motor Cortex (36,77%); 6 - Pre-Motor and Supplementary Motor Cortex (29,48%); 3 - Primary Somatosensory Cortex (25,60%); 2 - Primary Somatosensory Cortex (3,31%); 1 - Primary Somatosensory Cortex (2,86%); 40 - Supramarginal gyrus part of Wernicke's area (1,40%)"
"Ch-040","long","S10","C4","D8","C6","10-10","101","C4","C6","Exact unordered 10-10 landmark pair","40","9,16","62","-20","37","2 - Primary Somatosensory Cortex","27,65","2 - Primary Somatosensory Cortex (27,65%); 3 - Primary Somatosensory Cortex (19,92%); 43 - Subcentral area (16,21%); 1 - Primary Somatosensory Cortex (12,30%); 48 - Retrosubicular area (7,94%); 4 - Primary Motor Cortex (6,47%); 40 - Supramarginal gyrus part of Wernicke's area (5,22%); 6 - Pre-Motor and Supplementary Motor Cortex (2,14%); 22 - Superior Temporal Gyrus (1,74%)"
"Ch-041","long","S10","C4","D10","CP4","10-10","102","C4","CP4","Exact unordered 10-10 landmark pair","36","6,62","53","-35","52","40 - Supramarginal gyrus part of Wernicke's area","50,04","40 - Supramarginal gyrus part of Wernicke's area (50,04%); 2 - Primary Somatosensory Cortex (18,86%); 3 - Primary Somatosensory Cortex (17,66%); 1 - Primary Somatosensory Cortex (8,36%); 4 - Primary Motor Cortex (3,05%)"
"Ch-042","short","S10","C4","D38","C4","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-043","long","S11","T8","D8","C6","10-10","104","T8","C6","Exact unordered 10-10 landmark pair","41","11,1","67","-19","4","22 - Superior Temporal Gyrus","47,33","22 - Superior Temporal Gyrus (47,33%); 21 - Middle Temporal gyrus (38,02%); 48 - Retrosubicular area (6,52%); 43 - Subcentral area (2,80%); 2 - Primary Somatosensory Cortex (2,10%); 42 - Primary and Auditory Association Cortex (1,39%); 20 - Inferior Temporal gyrus (1,28%)"
"Ch-044","long","S11","T8","D11","TP8","10-10","105","T8","TP8","Exact unordered 10-10 landmark pair","29","5,99","68","-31","-12","21 - Middle Temporal gyrus","54,96","21 - Middle Temporal gyrus (54,96%); 20 - Inferior Temporal gyrus (41,52%); 22 - Superior Temporal Gyrus (2,24%); 37 - Fusiform gyrus (1,20%)"
"Ch-045","short","S11","T8","D39","T8","","","","","No direct fOLD match: co-located short-separation detector",,,,,,"",,""
"Ch-046","long","S12","CP2","D7","C2","10-10","107","CP2","C2","Exact unordered 10-10 landmark pair","38","7,49","28","-36","71","4 - Primary Motor Cortex","24,07","4 - Primary Motor Cortex (24,07%); 3 - Primary Somatosensory Cortex (24,04%); 6 - Pre-Motor and Supplementary Motor Cortex (18,02%); 7 - Somatosensory Association Cortex (11,62%); 1 - Primary Somatosensory Cortex (7,95%); 2 - Primary Somatosensory Cortex (6,91%); 5 - Somatosensory Association Cortex (5,23%); 40 - Supramarginal gyrus part of Wernicke's area (1,72%)"
